,PDAIEUR LX Equity,EXCRISA LX Equity,REYLSEB LX Equity
2025-11-11,0.11056004281591049,0.11776037209688477,-0.041592257519664264
2025-11-12,0.10636153164133891,0.12210491554620156,-0.044141567608123995
2025-11-13,0.10721600800505815,0.12380291727792668,-0.05065701373433135
2025-11-14,0.11011628502363019,0.12373692025655364,-0.04941905189102886
2025-11-18,0.11569887227060494,0.12283083804086485,-0.062110035592580465
2025-11-19,0.12153139358197551,0.12309427908811023,-0.07470992461123602
2025-11-20,0.10374799885713663,0.12235301918073895,-0.07511043123555418
2025-11-21,0.10066104411323212,0.12308351752906195,-0.07911076903833054
2025-11-25,0.0945784550793114,0.12174515091726011,-0.07949523523384443
2025-11-26,0.09698645229877279,0.12440546979071702,-0.08090231859586523
2025-11-27,0.09429906110846323,0.1238417726327966,-0.07989157282486463
2025-11-28,0.09350776469031188,0.12353300927752728,-0.07995095722428801
2025-12-02,0.09215340993186259,0.12336711051093675,-0.07909973918191895
2025-12-03,0.09202369825363552,0.1232685438748336,-0.08196291109947765
2025-12-04,0.09248747311433538,0.12127716146312344,-0.08200512255909095
2025-12-05,0.09247802391179016,0.12083404475449802,-0.08155591430998071
2025-12-09,0.09449131548560019,0.12050718424326849,-0.08152727464104043
2025-12-10,0.09444280906543194,0.12129311869001808,-0.08308504825114775
